"Ideia de Conteúdo ",Classificação,Create date,Data do Post,Deadline Conteúdo,Deadline Planejamento,Estratégia,Formato de conteúdo,Funil,Impulsionar,Laddering | Minha marca,Link do post,Meta do Funil,Plataforma,Progresso Matriz,Tema,Tópicos de Conteúdo
Nossos Produtos / Serviços,,22 de setembro de 2025 09:23,,,,Vendas,Carrossel,C3 - Fundo,No,,,C3 - Venda,"Instagram, TikTok, Youtube",Ideia,,Principais Desejos
Quem sou eu,,22 de setembro de 2025 09:23,,,,Autoridade,Video,C2 - Meio,No,,,C2 - Inspirar,"Instagram, TikTok, Youtube",Ideia,,Histórias
Diferencial da Marca,,22 de setembro de 2025 09:23,,,,Autoridade,"Carrossel, Video",C2 - Meio,No,,,C2 - Autoridade,"Instagram, TikTok, Youtube",Ideia,,Perguntas Comuns
Feedbacks,,22 de setembro de 2025 09:23,,,,Vendas,Video,C3 - Fundo,No,,,C3 - Prova Social,"Instagram, TikTok, Youtube",Ideia,,Histórias
3 perguntas para validar se seu posicionamento está claro ou só bonito,,23 de janeiro de 2026 22:58,,,,,,,No,,,,,Ideia,Posicionamento (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Posicionamento%20276cb023eb3b81aaa3fee8d3df8b48f5.html),Dicas
Quer ser reconhecido como autoridade e não só mais um no feed?,,23 de janeiro de 2026 23:16,,,,,,,No,,,,,A Fazer,Posicionamento (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Posicionamento%20276cb023eb3b81aaa3fee8d3df8b48f5.html),Principais Desejos
Como saber se meu posicionamento está certo?,,23 de janeiro de 2026 23:17,01/02/2026,31/01/2026,23/01/2026,Atração,Video curto,C1 - Topo,No,"Especialidade em posicionamento estratégico (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Especialidade%20em%20posicionamento%20estrat%C3%A9gico%20276cb023eb3b8198a9ecfa69a377abc3.html), Orgulho do posicionamento (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Orgulho%20do%20posicionamento%202cdcb023eb3b80e8a314ddd39ca08c07.html), Organizar a comunicação do negócio (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Organizar%20a%20comunica%C3%A7%C3%A3o%20do%20neg%C3%B3cio%20276cb023eb3b81eab42cf7552d881989.html)",,C1 - Seguidores,"Instagram, TikTok, Youtube",Planejando Roteiro,Posicionamento (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Posicionamento%20276cb023eb3b81aaa3fee8d3df8b48f5.html),Perguntas Comuns
Posicionar como generalista é o que te faz parecer iniciante,,23 de janeiro de 2026 23:17,,,,,,C2 - Meio,No,,,,,Ideia,Posicionamento (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Posicionamento%20276cb023eb3b81aaa3fee8d3df8b48f5.html),Erros Comuns
Como uma cliente ajustou o posicionamento e saiu da comparação de preço,,23 de janeiro de 2026 23:17,,,,,,,No,,,,,A Fazer,Posicionamento (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Posicionamento%20276cb023eb3b81aaa3fee8d3df8b48f5.html),Histórias
"Não, posicionar não é escolher um nicho. É escolher uma promessa clara",,23 de janeiro de 2026 23:17,,,,,,,No,,,,,A Fazer,Posicionamento (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Posicionamento%20276cb023eb3b81aaa3fee8d3df8b48f5.html),Mitos
Quer atrair pessoas que valorizam o que você vende e não só curtem seu conteúdo?,,23 de janeiro de 2026 23:17,,,,,,,No,,,,,A Fazer,Audiência (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Audi%C3%AAncia%202f2cb023eb3b809c885ee5c8d67f036a.html),Principais Desejos
Como identificar se sua audiência engaja mas não compra,,23 de janeiro de 2026 23:18,02/02/2026,31/01/2026,24/01/2026,Atração,Video curto,C1 - Topo,No,"Integração entre posicionamento, conteúdo e vendas (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Integra%C3%A7%C3%A3o%20entre%20posicionamento,%20conte%C3%BAdo%20e%20vendas%20276cb023eb3b8150b722e4d1780006f7.html), Entender onde investir energia e recursos (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Entender%20onde%20investir%20energia%20e%20recursos%202dfcb023eb3b80b1bbb3e8cc22974614.html), Confiança no próprio negócio (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Confian%C3%A7a%20no%20pr%C3%B3prio%20neg%C3%B3cio%202cdcb023eb3b80b7b1e2c3d3314d116d.html)",,C1 - Seguidores,"Instagram, TikTok, Youtube",Planejando Roteiro,Audiência (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Audi%C3%AAncia%202f2cb023eb3b809c885ee5c8d67f036a.html),Dicas
"Por que meu conteúdo engaja, mas não converte?",,23 de janeiro de 2026 23:18,,,,,,,No,,,,,A Fazer,Audiência (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Audi%C3%AAncia%202f2cb023eb3b809c885ee5c8d67f036a.html),Perguntas Comuns
Criar conteúdo sem pensar na jornada da audiência te deixa invisível para o cliente certo,,23 de janeiro de 2026 23:18,,,,,,,No,,,,,A Fazer,Audiência (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Audi%C3%AAncia%202f2cb023eb3b809c885ee5c8d67f036a.html),Erros Comuns
Como uma cliente filtrou a audiência e começou a vender com mais leveza,,23 de janeiro de 2026 23:18,,,,,,,No,,,,,A Fazer,Audiência (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Audi%C3%AAncia%202f2cb023eb3b809c885ee5c8d67f036a.html),Histórias
"Não, crescer o Instagram não garante crescer o faturamento",,23 de janeiro de 2026 23:18,,,,,,,No,,,,,A Fazer,Audiência (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Audi%C3%AAncia%202f2cb023eb3b809c885ee5c8d67f036a.html),Mitos
3 formas de tornar sua proposta de valor memorável,,23 de janeiro de 2026 23:20,,,,,,,No,,,,,A Fazer,Proposta de Valor (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Proposta%20de%20Valor%202f2cb023eb3b809cbaefcadd0178e8c8.html),Dicas
Quer que seu cliente entenda de cara o que você entrega?,,23 de janeiro de 2026 23:20,,,,,,,No,,,,,A Fazer,Proposta de Valor (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Proposta%20de%20Valor%202f2cb023eb3b809cbaefcadd0178e8c8.html),Principais Desejos
O que diferencia você do seu concorrente?,,23 de janeiro de 2026 23:20,03/02/2026,31/01/2026,24/01/2026,Atração,Video curto,C1 - Topo,No,"Especialidade em posicionamento estratégico (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Especialidade%20em%20posicionamento%20estrat%C3%A9gico%20276cb023eb3b8198a9ecfa69a377abc3.html), Clareza do que comunicar (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Clareza%20do%20que%20comunicar%20276cb023eb3b8166ba6fe13d8cce572e.html), Orgulho do posicionamento (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Orgulho%20do%20posicionamento%202cdcb023eb3b80e8a314ddd39ca08c07.html)",,C1 - Seguidores,"Instagram, TikTok, Youtube",Planejando Roteiro,Proposta de Valor (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Proposta%20de%20Valor%202f2cb023eb3b809cbaefcadd0178e8c8.html),Perguntas Comuns
Confundir proposta de valor com lista de serviços te torna genérico,,23 de janeiro de 2026 23:20,,,,,,,No,,,,,A Fazer,Proposta de Valor (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Proposta%20de%20Valor%202f2cb023eb3b809cbaefcadd0178e8c8.html),Erros Comuns
Como reposicionar a proposta de valor aumentou o ticket médio de uma cliente,,23 de janeiro de 2026 23:20,,,,,,,No,,,,,A Fazer,Proposta de Valor (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Proposta%20de%20Valor%202f2cb023eb3b809cbaefcadd0178e8c8.html),Histórias
"Não, proposta de valor não é um slogan bonito é uma promessa clara e percebida",,23 de janeiro de 2026 23:20,,,,,,C1 - Topo,No,,,,,Ideia,Proposta de Valor (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Proposta%20de%20Valor%202f2cb023eb3b809cbaefcadd0178e8c8.html),Mitos
Como decidir o que fazer agora quando tudo parece urgente,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Estratégia (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Estrat%C3%A9gia%202f2cb023eb3b8087be5edad86013a50e.html),Dicas
Quer parar de sentir que está sempre correndo atrás?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Estratégia (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Estrat%C3%A9gia%202f2cb023eb3b8087be5edad86013a50e.html),Principais Desejos
Como saber qual prioridade estratégica escolher no mês?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Estratégia (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Estrat%C3%A9gia%202f2cb023eb3b8087be5edad86013a50e.html),Perguntas Comuns
Querer atacar tudo ao mesmo tempo é o que mantém seu negócio parado,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Estratégia (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Estrat%C3%A9gia%202f2cb023eb3b8087be5edad86013a50e.html),Erros Comuns
Como um cliente reduziu ações pela metade e dobrou o resultado,,23 de janeiro de 2026 23:22,04/02/2026,31/01/2026,24/01/2026,Atração,Video curto,C1 - Topo,No,"Reduzir desperdício de tempo e dinheiro (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Reduzir%20desperd%C3%ADcio%20de%20tempo%20e%20dinheiro%202dfcb023eb3b8042933ce5049837ea96.html), Alívio mental (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Al%C3%ADvio%20mental%202cdcb023eb3b807cb507da208fb18bfa.html), Clareza de caminho (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Clareza%20de%20caminho%202dfcb023eb3b8012af7de550d4bed328.html)",,C1 - Seguidores,"Instagram, TikTok, Youtube",Planejando Roteiro,Estratégia (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Estrat%C3%A9gia%202f2cb023eb3b8087be5edad86013a50e.html),Histórias
"Não, ser estratégico não é fazer mais é fazer o que importa",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Estratégia (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Estrat%C3%A9gia%202f2cb023eb3b8087be5edad86013a50e.html),Mitos
Como criar conteúdo para quem nunca te viu sem soar genérico,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Funil (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Funil%202f2cb023eb3b80da9c22d574238de09f.html),Dicas
"Quer saber que tipo de conteúdo atrai, engaja e converte?",,23 de janeiro de 2026 23:22,,,,,,C3 - Fundo,No,,,,,Ideia,Funil (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Funil%202f2cb023eb3b80da9c22d574238de09f.html),Principais Desejos
"Preciso postar C1, C2 e C3 todo dia?",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Funil (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Funil%202f2cb023eb3b80da9c22d574238de09f.html),Perguntas Comuns
Falar só com quem já te conhece limita seu alcance e vendas,,23 de janeiro de 2026 23:22,,,,,,C1 - Topo,No,,,,,Ideia,Funil (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Funil%202f2cb023eb3b80da9c22d574238de09f.html),Erros Comuns
Como organizar o conteúdo por funil triplicou o resultado de uma aluna,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Funil (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Funil%202f2cb023eb3b80da9c22d574238de09f.html),Histórias
"Não, conteúdo de venda não afasta quando é feito com lógica de funil",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Funil (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Funil%202f2cb023eb3b80da9c22d574238de09f.html),Mitos
Como criar uma narrativa que conecta sua história com o que você vende,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Narrativa (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Narrativa%202f2cb023eb3b805091bacf5625efaee2.html),Dicas
"Quer que sua comunicação tenha começo, meio e fim e não pareça solta?",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Narrativa (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Narrativa%202f2cb023eb3b805091bacf5625efaee2.html),Principais Desejos
Como saber se minha narrativa está clara ou confusa?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Narrativa (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Narrativa%202f2cb023eb3b805091bacf5625efaee2.html),Perguntas Comuns
Falar só sobre o hoje faz seu conteúdo parecer desconectado,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Narrativa (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Narrativa%202f2cb023eb3b805091bacf5625efaee2.html),Erros Comuns
Como construir uma narrativa consistente ajudou uma cliente a ser vista como referência,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Narrativa (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Narrativa%202f2cb023eb3b805091bacf5625efaee2.html),Histórias
"Não, narrativa não é sobre “contar sua história” é sobre guiar a percepção do cliente",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Narrativa (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Narrativa%202f2cb023eb3b805091bacf5625efaee2.html),Mitos
Como saber se sua mensagem está clara ou só bonita,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Clareza (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Clareza%202f2cb023eb3b80379e28cafaa22be093.html),Dicas
Quer que as pessoas entendam de cara o que você resolve?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Clareza (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Clareza%202f2cb023eb3b80379e28cafaa22be093.html),Principais Desejos
Como transformar minha mensagem em algo que gera ação?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Clareza (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Clareza%202f2cb023eb3b80379e28cafaa22be093.html),Perguntas Comuns
Usar palavras bonitas demais faz você parecer genérico,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Clareza (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Clareza%202f2cb023eb3b80379e28cafaa22be093.html),Erros Comuns
