"Ideia de Conteúdo ",Classificação,Create date,Data do Post,Deadline Conteúdo,Deadline Planejamento,Estratégia,Formato de conteúdo,Funil,Impulsionar,Laddering | Minha marca,Link do post,Meta do Funil,Plataforma,Progresso Matriz,Tema,Tópicos de Conteúdo
Como ajustar uma frase na bio aumentou o engajamento e os pedidos de orçamento,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Clareza (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Clareza%202f2cb023eb3b80379e28cafaa22be093.html),Histórias
"Não, sua mensagem não precisa ser criativa precisa ser compreendida",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Clareza (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Clareza%202f2cb023eb3b80379e28cafaa22be093.html),Mitos
Como manter consistência de conteúdo mesmo em semanas corridas,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Consistência (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Consist%C3%AAncia%202f2cb023eb3b80609c43f1fdb987104f.html),Dicas
Quer crescer sem ter que aparecer 24h por dia?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Consistência (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Consist%C3%AAncia%202f2cb023eb3b80609c43f1fdb987104f.html),Principais Desejos
Como criar rotina de conteúdo sem me tornar escravo do Instagram?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Consistência (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Consist%C3%AAncia%202f2cb023eb3b80609c43f1fdb987104f.html),Perguntas Comuns
Produzir por impulso é o que te faz parar toda semana,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Consistência (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Consist%C3%AAncia%202f2cb023eb3b80609c43f1fdb987104f.html),Erros Comuns
Como uma cliente aumentou a frequência de conteúdo usando um sistema simples,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Consistência (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Consist%C3%AAncia%202f2cb023eb3b80609c43f1fdb987104f.html),Histórias
"Não, consistência não é postar todo dia é aparecer com intenção",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Consistência (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Consist%C3%AAncia%202f2cb023eb3b80609c43f1fdb987104f.html),Mitos
Como guiar o cliente da descoberta até a decisão,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Jornada de Compra (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Jornada%20de%20Compra%202f2cb023eb3b80bc8bb4d058c963d7a7.html),Dicas
"Quer entender por que alguns te seguem há meses, mas não compram?",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Jornada de Compra (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Jornada%20de%20Compra%202f2cb023eb3b80bc8bb4d058c963d7a7.html),Principais Desejos
Por que meus seguidores não se tornam clientes?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Jornada de Compra (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Jornada%20de%20Compra%202f2cb023eb3b80bc8bb4d058c963d7a7.html),Perguntas Comuns
Fazer oferta cedo demais é o que espanta clientes em potencial,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Jornada de Compra (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Jornada%20de%20Compra%202f2cb023eb3b80bc8bb4d058c963d7a7.html),Erros Comuns
Como ajustar a jornada de compra triplicou a conversão de uma oferta,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Jornada de Compra (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Jornada%20de%20Compra%202f2cb023eb3b80bc8bb4d058c963d7a7.html),Histórias
"Não, cliente não compra só porque viu uma promoção ele precisa de contexto",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Jornada de Compra (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Jornada%20de%20Compra%202f2cb023eb3b80bc8bb4d058c963d7a7.html),Mitos
Como criar uma oferta que conecta com o problema real do cliente,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Oferta (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Oferta%202f2cb023eb3b80dcb01fcaf7eaff297a.html),Dicas
Quer vender sem parecer que está forçando?,,23 de janeiro de 2026 23:22,07/02/2026,31/01/2026,24/01/2026,Atração,Video curto,C1 - Topo,No,"Integração entre posicionamento, conteúdo e vendas (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Integra%C3%A7%C3%A3o%20entre%20posicionamento,%20conte%C3%BAdo%20e%20vendas%20276cb023eb3b8150b722e4d1780006f7.html), Confiança no próprio negócio (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Confian%C3%A7a%20no%20pr%C3%B3prio%20neg%C3%B3cio%202cdcb023eb3b80b7b1e2c3d3314d116d.html), Reduzir desperdício de tempo e dinheiro (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Reduzir%20desperd%C3%ADcio%20de%20tempo%20e%20dinheiro%202dfcb023eb3b8042933ce5049837ea96.html)",,C1 - Seguidores,"Instagram, TikTok, Youtube",A Fazer,Oferta (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Oferta%202f2cb023eb3b80dcb01fcaf7eaff297a.html),Principais Desejos
Minha oferta está clara ou genérica?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Oferta (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Oferta%202f2cb023eb3b80dcb01fcaf7eaff297a.html),Perguntas Comuns
Vender só “pacote de horas” te transforma em commodity,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Oferta (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Oferta%202f2cb023eb3b80dcb01fcaf7eaff297a.html),Erros Comuns
Como uma cliente reposicionou sua oferta e multiplicou o ticket,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Oferta (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Oferta%202f2cb023eb3b80dcb01fcaf7eaff297a.html),Histórias
"Não, fazer promoção não é criar oferta é baixar preço sem estratégia",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Oferta (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Oferta%202f2cb023eb3b80dcb01fcaf7eaff297a.html),Mitos
Como melhorar sua taxa de resposta no direct e nos comentários,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Conversão (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Convers%C3%A3o%202f2cb023eb3b80f19814fc7ca5f1a93d.html),Dicas
Quer transformar interesse em fechamento real?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Conversão (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Convers%C3%A3o%202f2cb023eb3b80f19814fc7ca5f1a93d.html),Principais Desejos
Por que as pessoas pedem informação e somem?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Conversão (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Convers%C3%A3o%202f2cb023eb3b80f19814fc7ca5f1a93d.html),Perguntas Comuns
Mandar o link direto sem gerar contexto derruba sua conversão,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Conversão (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Convers%C3%A3o%202f2cb023eb3b80f19814fc7ca5f1a93d.html),Erros Comuns
Como uma cliente aumentou a conversão com uma sequência simples de mensagens,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Conversão (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Convers%C3%A3o%202f2cb023eb3b80f19814fc7ca5f1a93d.html),Histórias
"Não, conversão não é dom  é processo e leitura da jornada",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Conversão (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Convers%C3%A3o%202f2cb023eb3b80f19814fc7ca5f1a93d.html),Mitos
Como criar uma rotina de oferta que não dependa do seu humor,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Comercial e Vendas (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Comercial%20e%20Vendas%202f2cb023eb3b80c8b708e5b2d6d0398c.html),Dicas
Quer vender toda semana sem precisar fazer “evento”?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Comercial e Vendas (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Comercial%20e%20Vendas%202f2cb023eb3b80c8b708e5b2d6d0398c.html),Principais Desejos
Como manter vendas constantes sem apelar para urgência falsa?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Comercial e Vendas (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Comercial%20e%20Vendas%202f2cb023eb3b80c8b708e5b2d6d0398c.html),Perguntas Comuns
Esperar o cliente vir até você é o que mantém seu mês imprevisível,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Comercial e Vendas (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Comercial%20e%20Vendas%202f2cb023eb3b80c8b708e5b2d6d0398c.html),Erros Comuns
Como uma cliente estruturou vendas semanais e parou de viver de pico,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Comercial e Vendas (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Comercial%20e%20Vendas%202f2cb023eb3b80c8b708e5b2d6d0398c.html),Histórias
"Não, vender com consistência não exige lançar toda hora exige sistema",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Comercial e Vendas (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Comercial%20e%20Vendas%202f2cb023eb3b80c8b708e5b2d6d0398c.html),Mitos
"Como organizar sua semana para conteúdo, venda e decisão estratégica",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Rotina (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Rotina%202f2cb023eb3b80eb90cdd5decdac6239.html),Dicas
Quer crescer sem se sentir perdido no operacional?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Rotina (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Rotina%202f2cb023eb3b80eb90cdd5decdac6239.html),Principais Desejos
Como criar rotina se cada semana é uma bagunça?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Rotina (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Rotina%202f2cb023eb3b80eb90cdd5decdac6239.html),Perguntas Comuns
Mudar tudo toda semana é o que te impede de escalar,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Rotina (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Rotina%202f2cb023eb3b80eb90cdd5decdac6239.html),Erros Comuns
Como uma rotina de 3 blocos deu clareza para uma cliente que vivia apagando incêndio,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Rotina (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Rotina%202f2cb023eb3b80eb90cdd5decdac6239.html),Histórias
"Não, rotina não engessa ela te dá liberdade para crescer com calma",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Rotina (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Rotina%202f2cb023eb3b80eb90cdd5decdac6239.html),Mitos
Como transformar uma tarefa recorrente em processo documentado (sem complicar),,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Processos (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Processos%202f2cb023eb3b80b19e24e15ff34b3370.html),Dicas
Quer crescer sem precisar explicar tudo o tempo todo?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Processos (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Processos%202f2cb023eb3b80b19e24e15ff34b3370.html),Principais Desejos
Por onde começar se nunca documentei nenhum processo?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Processos (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Processos%202f2cb023eb3b80b19e24e15ff34b3370.html),Perguntas Comuns
Esperar o caos passar para só então criar processo é o que faz ele se repetir,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Processos (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Processos%202f2cb023eb3b80b19e24e15ff34b3370.html),Erros Comuns
Como uma cliente criou 3 processos simples e dobrou sua capacidade de entrega,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Processos (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Processos%202f2cb023eb3b80b19e24e15ff34b3370.html),Histórias
"Não, processo não é coisa de empresa grande é pré-requisito para crescer",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Processos (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Processos%202f2cb023eb3b80b19e24e15ff34b3370.html),Mitos
Como começar a fazer gestão mesmo sem ter uma equipe grande,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Gestão (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Gest%C3%A3o%202f2cb023eb3b80039703ff969ba4732c.html),Dicas
Quer se sentir no controle do crescimento do seu negócio?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Gestão (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Gest%C3%A3o%202f2cb023eb3b80039703ff969ba4732c.html),Principais Desejos
Preciso de sistema de gestão ou consigo me organizar sozinho?,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Gestão (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Gest%C3%A3o%202f2cb023eb3b80039703ff969ba4732c.html),Perguntas Comuns
Confundir produtividade com gestão é o que te deixa ocupado sem crescer,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Gestão (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Gest%C3%A3o%202f2cb023eb3b80039703ff969ba4732c.html),Erros Comuns
Como um cliente começou a fazer gestão com 2 horas por semana e dobrou o faturamento,,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Gestão (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Gest%C3%A3o%202f2cb023eb3b80039703ff969ba4732c.html),Histórias
"Não, gestão não é só para quem tem equipe é para quem quer escalar sem se perder",,23 de janeiro de 2026 23:22,,,,,,,No,,,,,A Fazer,Gestão (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Gest%C3%A3o%202f2cb023eb3b80039703ff969ba4732c.html),Mitos
Como usar IA para ganhar tempo sem perder clareza no conteúdo,,23 de janeiro de 2026 23:23,,,,,,,No,,,,,A Fazer,IA e Automações (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/IA%20e%20Automa%C3%A7%C3%B5es%202f2cb023eb3b80a78ce5f958599dc355.html),Dicas
Quer escalar sua produção sem abrir mão da sua voz e visão?,,23 de janeiro de 2026 23:23,,,,,,,No,,,,,A Fazer,IA e Automações (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/IA%20e%20Automa%C3%A7%C3%B5es%202f2cb023eb3b80a78ce5f958599dc355.html),Principais Desejos
IA vai substituir a criação de conteúdo estratégico?,,23 de janeiro de 2026 23:23,,,,,,,No,,,,,A Fazer,IA e Automações (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/IA%20e%20Automa%C3%A7%C3%B5es%202f2cb023eb3b80a78ce5f958599dc355.html),Perguntas Comuns
Usar IA só para gerar post é o que está te afastando do resultado,,23 de janeiro de 2026 23:23,,,,,,,No,,,,,A Fazer,IA e Automações (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/IA%20e%20Automa%C3%A7%C3%B5es%202f2cb023eb3b80a78ce5f958599dc355.html),Erros Comuns
Como uma cliente usou IA para organizar ideias e dobrou a frequência de conteúdo com leveza,,23 de janeiro de 2026 23:23,,,,,,,No,,,,,A Fazer,IA e Automações (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/IA%20e%20Automa%C3%A7%C3%B5es%202f2cb023eb3b80a78ce5f958599dc355.html),Histórias
"Não, IA não é ameaça para quem tem método é aliada de quem pensa",,23 de janeiro de 2026 23:23,,,,,,,No,,,,,A Fazer,IA e Automações (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/IA%20e%20Automa%C3%A7%C3%B5es%202f2cb023eb3b80a78ce5f958599dc355.html),Mitos